token_id,token_str,frequency,mean_entropy,std_entropy,mean_confidence,std_confidence,routing_consistency,top_expert,min_entropy,max_entropy
2796,cover,342,2.0748812134502934,0.002117084132503891,0.14540001941703215,0.007121173548596227,0.4766081871345029,1,2.068359375,2.078125
2930,human,341,2.073090405058651,0.0022598896365340977,0.1477100898093842,0.006879750822421653,0.6011730205278593,2,2.06640625,2.078125
3403,soon,341,2.0752840909090904,0.002634367685109912,0.14436872823497074,0.007884077895876734,0.4809384164222874,3,2.0625,2.078125
5061,easily,341,2.0759370417888547,0.0020266225760164503,0.1433323834998166,0.007222626916761128,0.45161290322580644,1,2.0703125,2.080078125
6377,Health,341,2.0722369868035195,0.003334351211408356,0.14911944705370245,0.008316043689832879,0.5219941348973607,2,2.060546875,2.076171875
4638,modern,340,2.0736155790441186,0.0020964359239206707,0.14337445427389708,0.006495485581351766,0.2911764705882353,5,2.06640625,2.078125
533,cl,340,2.0759937959558825,0.002018777903871262,0.14269121955422806,0.007005441618379138,0.49411764705882355,2,2.068359375,2.078125
5503,oil,340,2.074327895220588,0.003300304508821081,0.14676657284007358,0.00882986034726072,0.6470588235294118,1,2.064453125,2.078125
2696,code,340,2.074718520220588,0.0019581259586206466,0.1440361471737133,0.006195026676615236,0.5176470588235295,2,2.068359375,2.078125
2967,strong,339,2.0750080660029475,0.0024587017235389945,0.1441031036827064,0.0067382590427509425,0.41297935103244837,3,2.060546875,2.080078125
